itemNumber	string	score	depth
75663147	proteïnen	210	1
75658046	celbiologie	169	2
75608774	hart- en vaatziekten	153	2
75652196	moleculaire biologie	118	3
75652021	immunologie	102	1
75658895	enzymen	102	2
15438125x	katalyse	93	2
75660180	kankerbehandeling	89	2
75657163	bacteriën	89	1
07560129x	biochemie	73	2
07566450x	tumoren	73	2
75605902	farmacologie	70	3
75610086	infectieziekten	67	2
75658003	cardiologie	65	3
75658909	genen	65	1
75615193	microbiologie	64	2
75684659	computersimulatie	64	2
75664062	stofwisseling	61	1
07561474x	materialenkennis	60	1
75604248	dna	60	3
75611791	kindergeneeskunde	55	2
07561653x	nier(ziekten)	54	1
75618761	plantenfysiologie	52	2
75640945	voedingsmiddelentechnologie	52	2
07560938x	hormonen	52	1
18993588x	biomaterialen	51	3
75613832	lever(ziekten)	50	3
75663589	schimmels	50	3
194206963	nanotechnologie	50	2
75616513	neurologie	49	2
153901284	erfelijkheidsleer	49	2
242597815	polymeren	48	1
75677350	diagnostiek	48	2
75654016	biotechnologie	47	2
75648598	gastro-enterologie	46	2
75600099	bacteriologie	45	1
75663864	spectroscopie	44	2
07560289x	chirurgie	44	2
75618788	plantenziekten	44	1
75664909	virussen	44	2
75617668	organische chemie	43	2
75661705	neurofysiologie	43	2
75599740	astma	41	4
75623412	diabetes	41	3
246139412	plantengenetica	41	3
75620030	radiotherapie	40	2
75614936	melkwegstelsels	39	2
267797737	copd	39	3
75598876	algoritmen	38	2
75685752	ecosystemen	37	1
75660938	logistiek	37	1
75605384	epidemiologie	37	2
75658488	darmkanker	36	3
267179693	hartfalen	36	3
102367418	magnetische resonantie	36	5
75601486	bloedvatenstelsel	35	4
96947381	patroonherkenning	35	2
07567761x	moleculaire natuurkunde	35	2
126297290	differentiaalvergelijkingen	34	2
75659670	halfgeleiders	34	2
75662981	polymerisatie	34	2
189868236	membranen	34	3
75611198	kanker	34	2
75614545	management	34	1
75657708	bloed	34	2
75664119	stromingsleer	33	3
75613786	leukemie	33	3
75617757	orthopedie	33	1
75651386	neonatologie	33	3
97310328	sedimentologie	33	3
75602792	chemische technologie	32	2
75607220	geneesmiddelen	32	2
75626985	waterzuivering	31	1
75688395	waterbeheer	31	3
75661209	geneesmiddelen ; bijwerkingen	31	3
75657775	borstkanker	31	3
182795667	farmacotherapie	31	2
75637162	endocrinologie	30	1
75676257	plantenveredeling	30	6
75626748	waarschijnlijkheidsrekening	30	2
75599201	antibiotica	30	3
75625210	vaste stoffen ; mechanica	30	3
75663201	kwantummechanica	29	2
153872802	elementaire-deeltjesfysica	29	2
94669805	productontwikkeling	29	2
75609789	hydrologie	29	3
75688255	ouderen ; gezondheidszorg	29	2
75628732	zwangerschap	29	1
75601419	urologie	28	2
75648539	chemotherapie	28	2
75603691	darmziekten	28	2
202821048	biodiversiteit	28	2
75609045	hersenaandoeningen	28	2
75656698	landbouweconomie	28	2
75624486	transplantatie	28	2
75599775	astrofysica	27	2
75685310	cognitieve psychologie	27	3
75610477	irrigatie	27	2
75668033	vaccinatie	27	3
75664666	veevoeding	27	2
75675382	milieutechniek	27	2
75663384	remote sensing	27	1
277957672	genexpressie	27	3
75614146	longziekten	26	2
102366659	tomografie	26	4
75623269	stress	26	1
75652498	biomedische techniek	26	2
75661861	numerieke wiskunde	26	2
75617544	operations research	25	3
75659883	hydrodynamica	25	3
216028701	hematologie	25	1
75606615	fysische chemie	25	2
75660687	landbouwgronden	25	1
126610908	geografische informatiesystemen	24	2
75664402	toegepaste wiskunde	24	2
75664860	vetten	24	1
75663139	prostaatkanker	24	3
75611449	keel-, neus- en oorziekten	24	2
75626217	vloeistoffen ; mechanica	24	2
75614766	mathematische statistiek	24	2
75659352	geneesmiddelengebruik	24	1
75603829	depressiviteit	24	1
07564861x	huisartsgeneeskunde	24	2
75660199	kankeronderzoek	24	2
75609010	hersenfysiologie	24	2
16078638x	grensvlakchemie	24	2
75617595	optica	23	2
153900660	erfelijke ziekten	23	2
85911453	immuuntherapie	23	2
75626519	voortplanting	23	1
75613603	medische instrumenten en apparaten	23	3
75598558	aderverkalking	22	3
75657147	baarmoederhalskanker	22	3
07562592x	overgewicht	22	2
75623633	tandheelkunde	22	2
75607840	gist	22	1
183415280	klimaatveranderingen	22	2
75614863	medische psychologie	22	3
75615835	motoriek	22	4
75661322	milieueconomie	22	2
75665980	hartchirurgie	21	3
250117312	genomica	21	1
75623080	stofwisselingsziekten	21	2
75598906	allergie	21	2
75618451	perceptie	21	4
75620898	nek- en rugklachten	21	2
75607786	gezondheidszorg	21	1
75664364	thermodynamica	21	3
75604094	dierfysiologie	21	2
75626039	vissen	21	2
29139731x	niertransplantatie	20	3
75605236	embryologie	20	3
75605643	europees recht	20	2
75625601	verkeersvraagstuk	20	1
75606828	gedragsstoornissen	20	2
75624613	trombose	20	3
75648504	sociale relaties	20	4
07561507x	metalen	20	1
75685744	medische technologie	20	2
75656671	afvalwater	20	2
75677857	aangeboren afwijkingen	19	2
75659697	hartritme(stoornissen)	19	3
75679817	medische informatica	19	3
75655047	fotosynthese	19	3
75621290	schizofrenie	19	2
102048169	neurobiologie	19	2
75605074	elektronen	19	3
75659972	informatiesystemen	19	1
75656590	ademhalingsstoornissen	19	2
78865492	voedingsgewoonten	19	1
75618745	plantenecologie	19	2
75663430	rna	19	3
75665182	vruchtbaarheid	19	1
07562625x	voedingsleer	19	1
07561491x	meettechniek	19	2
75625202	varkens	19	4
07561815x	parasitologie	19	2
75607301	geochemie	19	3
75611651	kernfysica	18	2
07566285x	pijn(bestrijding)	18	1
177171383	gentherapie	18	2
75661098	marketing	18	3
75609002	hersenbloeding	18	3
145492346	zonnecellen	18	4
75604787	ecologie	18	1
75618907	pluimvee(houderij)	18	5
75615622	moleculen	18	2
75657759	bodemvruchtbaarheid	18	1
19134740x	risicoanalyse	18	1
75628422	ziekte van parkinson	17	2
75658216	colloïdchemie	17	2
75656809	duurzame landbouw	17	4
75609509	huidziekten	17	2
139111301	cholesterol	17	1
07561765x	organisatieontwikkeling	17	4
75661233	melkveehouderij	17	5
75656507	aardappelen	17	3
75612569	kristallografie	17	1
75617234	ontwikkelingspsychologie	17	3
75600617	gedrag	17	3
75616823	oceanografie	17	1
75625296	veeziekten	17	3
75630001	china	17	1
75617269	oog(ziekten)	17	2
75657627	biochemisch onderzoek	17	2
75659646	grondwater	17	2
75605430	erosie	17	1
270934669	organometaalchemie	16	2
75675021	multiple sclerose	16	2
75660598	kristalchemie	16	2
75599635	archeologie	16	1
07566366x	seismologie	16	3
75605058	elektromagnetisme	16	3
75598949	aluminium	16	2
246139242	dierengenetica	16	3
75677865	medische statistiek	16	2
75657716	bloeddruk	16	1
75605716	evolutieleer	16	1
75689022	consumentengedrag	16	4
75659476	gezondheidsonderzoek	16	1
75610124	informatietechnologie	16	2
75631644	kenia	16	1
75651696	spierziekten	15	2
191737771	hepatitis	15	4
75661136	mathematische natuurkunde	15	2
75612119	klimatologie	15	1
75603209	computernetwerken	15	2
90998855	speltheorie	15	3
75617250	oogheelkunde	15	2
07562446x	transistoren	15	1
75608014	goederenvervoer	15	2
75664615	varkenshouderij	15	5
07560504x	elektrochemie	15	2
75664674	vegetatiekunde	15	1
397243782	biomarkers	15	3
75608510	gynaecologie	15	2
07561023x	insectenbestrijding	15	2
75657899	breuken (geneeskunde)	15	2
86762931	grondonderzoek	15	2
134940741	milieutoxicologie	15	4
126227810	driedimensionale afbeeldingen	15	1
75660474	koolstofverbindingen	15	3
07561538x	milieubeleid	15	2
75607344	geomorfologie	15	1
75628333	zenuwstelsel	15	3
75657678	biologische bestrijding	15	1
75664488	trillingsleer	15	2
75661713	neuropsychologie	15	3
75664925	vitaminen (voeding)	15	2
07565685x	aminozuren	14	3
75647621	reumatologie	14	2
75622505	spoorwegen	14	3
75599120	anesthesiologie	14	1
75626012	virologie	14	1
75615223	micro-elektronica	14	4
75658836	elektriciteitsvoorziening	14	3
75619512	productieplanning	14	2
277365465	aardappelen ; ziekten	14	4
75660962	longkanker	14	3
75659093	fotochemie	14	2
75602881	chips	14	4
75626306	vogels	14	2
75627035	weefselleer ; menskunde	14	1
75664100	straling	14	1
75668904	autoimmuunziekten	14	2
75651173	schildklier(ziekten)	14	3
75605538	ethologie	14	2
217578365	gentechnologie	14	3
265436885	supramoleculaire chemie	13	2
75599872	atmosfeer	13	2
297128736	stamcellen	13	3
75680505	kinesiologie	13	3
75677377	intensive care	13	2
75614286	luchtverontreiniging	13	2
75663317	regenwouden	13	2
75624540	treinverkeer	13	3
75625512	toxicologie	13	3
75601834	bosbeheer	13	2
13705601x	hiv	13	3
75625598	verkeersveiligheid	13	3
75620936	rundvee	13	4
75659565	golftheorie (natuurkunde)	13	2
75636808	voeding	13	1
75660490	koolwaterstoffen	13	3
75659417	gewasbescherming	13	4
115151907	chronisch zieken	13	2
07561295x	landbouwbedrijfsleer	13	3
75658437	cytostatica	13	3
75656205	tandheelkundige materialen	12	4
180964984	escherichia coli	12	2
75689871	infrastructuur	12	2
31540132x	biobrandstoffen	12	3
75658852	elektronische schakelingen	12	3
75666022	kankerpatiënten	12	2
75606844	verstandelijk gehandicapten	12	1
75659506	gezondheidszorg ; nederland	12	2
75626063	visteelt	12	2
07562219x	software	12	2
07560745x	gerontologie	12	1
75625415	verbintenissenrecht	12	2
75628341	zetmeel	12	3
75619784	psychopathologie	12	3
154073040	signaalverwerking	12	3
202424693	ondernemerschap	12	2
75657465	besluitvorming	12	1
07565959x	groei(stoornissen)	12	1
07561541x	milieuverontreiniging	12	1
75664054	stikstof	12	2
07561006x	industriële vormgeving	12	1
89041011	natuurbeheer en -ontwikkeling	12	1
75608251	grasland	12	1
75631245	indonesië	12	1
75617773	ouderdom	12	4
239541189	kennismanagement	11	2
07560146x	bloedziekten	11	2
83725237	orgaan- en weefseldonaties	11	3
75614499	ferromagnetische materialen	11	3
75673959	supergeleiding	11	2
75659441	gewrichtsziekten	11	2
75601303	biofysica	11	2
75635720	voedingsmiddelen	11	1
75666316	echografie	11	3
75665913	zwaartekracht	11	2
75620596	reuma	11	1
75619792	psychosen	11	2
75622068	sociale psychologie	11	3
101873360	organisatiesociologie	11	3
75627361	wetenschappelijk onderwijs	11	3
159340721	lichttherapie	11	2
75660695	landbouwproducten	11	4
75688409	traumatologie	11	3
75601451	bloedsomloop	11	1
75660784	leerprocessen	11	2
252310012	preventieve gezondheidszorg	11	2
75630567	ethiopië	11	1
122341686	coatings	11	1
75611910	kippen	11	6
75621940	sociaal-wetenschappelijk onderzoek	11	2
75612860	kustgebieden	11	1
07566643x	rivieren	11	1
75627965	zaadplanten	11	2
75628503	zintuigfysiologie	11	2
75648768	hersenen	11	1
75615541	mobiele communicatie	11	2
07566495x	vliegen (biologie)	11	5
182475743	tektoniek	11	3
75656892	antigenen	11	2
75660709	landinrichting	11	3
75624265	toerisme	11	1
75663104	procesbesturing	11	1
75618869	plattelandssamenleving	11	2
194449335	nierdialyse	10	2
07563841x	bodemkunde	10	1
75622793	stadsplanologie	10	3
203379888	data mining	10	3
75615355	migraine	10	3
89406516	echocardiografie	10	3
75601575	bodemverontreiniging	10	2
75603772	dementie	10	2
75598833	algebra	10	2
07559854x	ademhalingsorganen	10	1
242233414	zwangerschapshypertensie	10	2
75623226	strafrecht	10	2
07565976x	hoge-energiefysica	10	2
75662604	overheidsorganisatie	10	1
75617463	openbaar vervoer	10	2
75659638	grondmechanica	10	3
75620308	regeltechniek	10	2
75623544	taalverwerving	10	1
75599791	astronomie	10	1
75680068	landbouwkundig onderzoek	10	2
75614502	magnetisme	10	2
174684134	aandachtstekortstoornis (met hyperactiviteit)	10	3
75603195	computertoepassingen	10	1
75665611	wormen	10	3
75608243	granen	10	2
75665239	waterhuishouding	10	1
75598922	duurzame energie	10	2
75683245	wiskundige analyse	10	2
75663325	regionale economie	10	2
75608324	griep	10	3
75622653	spijsverteringsorganen	10	1
75615037	metaalkunde	10	1
75615134	methodologie	10	1
75626950	waterverontreiniging	10	2
26164419x	celdood	10	3
75615274	microscopie	10	1
75622696	staalconstructies	10	3
75620715	roken	10	2
75614898	meetinstrumenten	10	1
75656493	aansprakelijkheid	10	1
07560731x	geofysica	10	2
75598590	adolescentie	10	4
75658933	etnische groepen ; nederland	10	3
75657341	beendergestel	10	4
163824193	duurzaam bouwen	10	2
75642662	oeganda	10	1
90642074	magnetische materialen	9	2
75658283	computerlinguïstiek	9	2
75657686	biometrie	9	1
158564022	psychofysiologie	9	3
298060728	barrett-oesofagus	9	3
75624737	tuberculose	9	3
07568473x	ziekte van alzheimer	9	2
75663880	spierstelsel	9	1
75658321	computersystemen	9	1
24182625x	ontwikkelingsbiologie	9	2
75661144	mathematische programmering	9	1
07566089x	lineaire programmering	9	2
243146582	materiaalmoeheid	9	2
291493238	lactococcen	9	2
75663422	rijstbouw	9	4
75600447	bedrijfsorganisatie	9	2
75600943	beton	9	3
292486073	lymfocyten	9	3
75658666	econometrische modellen	9	1
75664186	systeemontwikkeling (informatica)	9	3
75663732	kleur- en smaakstoffen	9	4
75657228	bedrijfsinnovatie	9	2
75616491	netwerkplanning	9	2
75665786	ziektekosten	9	1
237788888	stamceltransplantatie	9	2
75660008	innovatie	9	1
75664623	vaste-stoffysica	9	2
75615908	multinationale ondernemingen	9	2
75640066	tanzania	9	1
75600234	bankwezen	9	3
75618311	patiënten	9	1
18332689x	china ; economie	9	2
75654415	dierproeven	9	1
75663090	privacy	9	2
75672782	cad/cam	9	2
188708510	west-afrika	9	2
75603454	corrosie	9	1
75642654	zimbabwe	9	1
75658178	chromosomen	9	3
75664275	tarwe	9	3
168749203	overstromingen	9	3
75660733	lasertechniek	9	2
75657635	bio-energie	9	2
227450655	kinderoncologie	9	3
75626276	voedselvraagstuk	9	2
75605260	emoties	9	3
75599988	automobilisme	9	1
75619970	radiologie	9	2
153878231	personenvervoer	9	2
75605309	energiebesparing	9	2
75617226	ontwikkelingslanden	9	1
75639173	ghana	9	1
75612941	landbouw	9	3
75635526	arbeidsomstandigheden	9	1
75622025	sociale geografie	9	2
75617641	organisatieleer	9	1
75660725	landschapsecologie	9	2
75672596	cultuursociologie	9	3
323940382	eierstokkanker	8	3
75622548	sportgeneeskunde	8	2
75617145	onroerende zaken	8	1
264121368	hersentumoren	8	3
75652528	kunstmatige intelligentie	8	1
75601923	bouwkunst	8	2
75600951	betonconstructies	8	3
75636778	verkeer	8	1
75635283	farmacie	8	1
75624362	topologie	8	2
07562706x	weekdieren	8	3
75621169	scheepsbouw	8	1
75599880	atomen	8	2
75613816	levensbeschrijvingen	8	1
75601842	bosbouw	8	2
75665441	wind	8	2
75608219	grammatica	8	2
75598566	bestuursrecht	8	2
75663082	privatisering	8	1
75666014	verkeerswegen	8	3
75671840	bioritmen	8	1
75651572	diergedrag	8	4
75601052	bewegingstherapie	8	2
75656779	algen	8	2
267164610	voedselallergie	8	3
29233012x	drug targeting	8	4
75659816	huidkanker	8	3
07567954x	osteoporose	8	2
75660164	kaakchirurgie	8	3
121700313	reukstoffen	8	4
75617749	orthopedagogiek	8	3
75625822	verstedelijking	8	2
07561992x	radar	8	1
75610434	investeringen	8	1
75606704	gassen ; mechanica	8	2
75604817	economische groei	8	1
75608367	groenteteelt	8	5
182931137	electronic commerce	8	2
75663457	radiodiagnostiek	8	3
75682109	broeikaseffect	8	3
75625547	verkeersbeleid	8	2
408069872	nanomaterialen	8	3
75619695	psychiatrie	8	1
29887718x	farmacokinetiek	8	4
75617609	optische instrumenten en technieken	8	1
75632527	mexico (land)	8	1
07561183x	kinderpsychologie	8	4
327300647	sensortechnologie	8	2
75601745	bomenteelt	8	1
75619954	radioastronomie	8	2
07566058x	kristallen	8	1
75618796	plantkunde	8	2
75680114	financieel management	8	2
75664321	technologische vernieuwing	8	2
75610698	jeugd	8	1
175158614	omgevingspsychologie	8	3
75636786	vervoer	8	1
07566013x	jeugdgezondheidszorg	7	2
121730735	hyperthermie	7	1
75603799	demografie	7	1
75614901	meetkunde	7	2
75607204	geneeskunde	7	1
75661063	management ; gezondheidszorg	7	2
75612461	kosmologie	7	1
153186607	malaria	7	3
88227227	kennissystemen	7	2
75684349	ziekte van hodgkin	7	3
75623218	strafprocesrecht	7	3
75669854	medisch onderwijs	7	2
84826533	vogelkunde	7	3
07562351x	systeemtheorie	7	1
75599171	anorganische chemie	7	2
238924262	glaucoom	7	3
75599910	autisme	7	3
75610310	intern transport	7	1
75610388	internationale economie	7	2
07567923x	mathematische psychologie	7	3
75618818	plastische chirurgie	7	3
75622874	statistiek	7	1
75611201	kankerbestrijding	7	2
174882149	prenatale diagnostiek	7	3
75600390	bedrijfsgeneeskunde	7	2
75606852	geestelijke gezondheidszorg	7	2
263313506	voorraadbeheer	7	2
75610353	internationaal recht	7	2
75657287	bedrijfsvestiging	7	3
75659344	geneeskunde ; opleiding	7	2
75665506	wiskundige logica	7	2
75659964	industriële innovatie	7	2
75622882	stedenbouw	7	4
37834823x	oncologische chirurgie	7	3
100450830	russische federatie	7	1
75623498	syntaxis	7	2
75604825	economische politiek	7	2
75601478	bloedtransfusie	7	1
314342192	sekseverschillen	7	2
75625288	veeteelt	7	4
75601524	bloementeelt	7	5
98141651	tribologie	7	2
75615118	meteorologie	7	1
75657473	bevolkingsonderzoek	7	2
07567856x	theoretische natuurkunde	7	2
75658089	chemische fysica	7	2
75609525	huisartsen	7	2
75680041	revalidatiegeneeskunde	7	2
291506313	geslachtshormonen	7	2
75612895	kwaliteitsmanagement	7	2
75658887	energie-economie	7	2
75651645	agressie	7	4
75626683	vuilverwerking	7	3
75664607	variatierekening	7	2
75598361	aardkorst	7	3
75606593	fysiologie	7	1
75602040	brandstoffen	7	2
141004967	procesindustrie	7	3
88165566	vietnam	7	1
07567842x	endoscopie	7	3
75601931	bouwmaterialen	7	2
07565668x	agrarische sociologie	7	3
75620251	recycling	7	4
09004147x	risicobeheer	7	2
75656612	aërodynamica	7	3
07568893x	economische geografie	7	2
75665883	zuurstof	7	1
75598787	akoestiek	7	3
89481925	burkina faso	7	1
07566562x	zaad (landbouw)	7	4
75628899	afrika	7	1
75612968	landbouwbeleid	7	2
75659921	incontinentie	6	2
122338634	virtual reality	6	1
75648636	psycholinguïstiek	6	2
292322593	artrose	6	3
190748389	lupus erythematodes	6	3
291944671	psychofarmaca	6	3
75599589	arbeidsrecht	6	2
75625342	vennootschappen	6	2
242732836	luminescentie	6	3
216389194	containervervoer	6	3
370853911	orthopedische chirurgie	6	2
236130854	septikemie	6	2
24391041x	ziekenhuisinfecties	6	3
75674408	neutronenradiografie	6	1
75653451	chromatografie	6	3
75618478	personeelsbeleid	6	1
75625008	universiteiten	6	1
75659158	functietheorie	6	2
75606534	fruitteelt	6	5
136927971	tweetaligheid	6	2
07560275x	chemie	6	1
227555309	teamwerk	6	4
75627558	windturbines	6	4
07568859x	vermogenselektronica	6	4
19514015x	wachttijdtheorie	6	4
75660059	internationale organisaties	6	1
242296734	ovaria	6	2
75607417	geriatrie	6	2
75625563	verkeerskunde	6	1
75660466	koolhydraten	6	2
75659581	grafentheorie	6	2
75605368	engelse taalkunde	6	2
387365257	intelligente transportsystemen	6	2
75610221	insecten	6	4
407433503	wespen	6	5
75610116	informatievoorziening	6	1
07565881x	eerstelijnsgezondheidszorg	6	2
75690640	vloeistoffen	6	1
75659484	gezondheidsvoorlichting	6	2
195152700	interstellaire materie	6	2
75622750	staatsrecht	6	2
75622688	staal	6	1
205437494	manisch-depressieve stoornis	6	1
07559904x	analytische chemie	6	2
75603586	cultuurgeschiedenis	6	2
75659360	geotechnologie	6	2
75664658	veehouderij	6	4
75604930	elektriciteitsleer	6	2
75635496	geodesie	6	1
75689197	voedingsmiddelen ; conserveren	6	2
75660148	jeugdzorg	6	2
75609487	huid	6	1
75646641	alvleesklier(ziekten)	6	3
07998455x	prijsstelling (bedrijfseconomie)	6	3
75614820	medezeggenschap	6	1
75681269	gehoor	6	2
75644762	terminals (vervoer)	6	3
75658275	computers in het onderwijs	6	3
75605341	energievoorziening	6	2
75599023	amputaties	6	3
75600412	bedrijfskunde	6	1
75622807	stadsvernieuwing	6	5
75607484	geslachtsorganen	6	1
75621606	semantiek	6	2
75663198	kwantumchemie	6	2
75614359	maagziekten	6	2
75615312	midden- en kleinbedrijf	6	2
75634643	zuid-afrika	6	1
75655675	nepal	6	1
75658828	efficiency	6	1
07562091x	ruimtelijke ordening	6	1
75672901	benin	6	1
75659514	gezondheidszorg ; buitenland	6	2
75617927	paarden	6	4
75659409	gevaarlijke stoffen	6	2
75604132	diergeneeskunde	6	2
75661381	mineralen (voeding)	6	2
371244730	agroforestry	6	4
75657260	ondernemingsrecht	5	2
311716482	syndroom van sjögren	5	3
75625733	vermogensrecht	5	2
75660822	leidinggeven	5	1
302322469	computerarchitectuur	5	2
279740026	syndroom van guillain-barré	5	3
75654741	hemofilie	5	3
75615401	milieurecht	5	3
75603233	computerwiskunde	5	2
07562298x	sterren	5	2
07562799x	zakenrecht	5	2
75611821	kinderpsychiatrie	5	2
75655624	orthodontie	5	3
75607735	gezinssociologie	5	3
75661152	mechanische technologie	5	2
84789891	lymfklier(ziekten)	5	3
75624745	tuberculosebestrijding	5	1
242836615	information retrieval	5	2
75625741	verpakking	5	1
75619733	psychodiagnostiek	5	3
75602679	cement	5	3
07561880x	plastics	5	3
75657422	beleggen	5	3
75622785	stadsgeografie	5	3
243144229	bekken (anatomie)	5	5
75605317	energiebronnen	5	1
75600927	bestuurswetenschap	5	1
75689219	voedingsmiddelenindustrie	5	3
07563323x	peru	5	3
07566612x	statistische mechanica	5	2
75623323	studenten	5	1
267104944	antropogenetica	5	3
75610132	infraroodtechniek	5	1
75617870	overheidsbeleid	5	1
291281559	plattelandseconomie	5	2
75620618	revalidatie	5	1
75661888	offshore technologie	5	2
75599554	arbeidsmigratie	5	2
75663252	recht ; geschiedenis	5	2
07561636x	navigatie-instrumenten	5	1
75601974	bouwtechniek	5	2
75614235	luchthavens	5	4
75635941	mensenrechten	5	1
75686899	computergraphics	5	1
75612291	koloniale geschiedenis ; nederland	5	3
75599147	angsten	5	1
75612208	knaagdieren	5	3
75663171	psychosociale hulp	5	2
75602245	taalkunde ; overige talen	5	2
75624699	tropische ziekten	5	2
75628457	ziekteverzuim	5	1
75658232	communicatiesystemen	5	1
75663724	slib	5	1
180713000	elektrofysiologie	5	2
155731181	persoonlijkheidsstoornissen	5	2
157198022	plankton	5	3
75613123	lassen	5	1
75603705	databanken	5	2
75600919	bestrijdingsmiddelen	5	1
75632705	nederland	5	1
75604582	drinkwatervoorziening	5	3
75615665	monetaire politiek	5	3
07565914x	fruit	5	2
