ppn	ppn label	occurrences	brinkey depth
075659115	foutentheorie	5	1
185947549	eindige-elementenmethode	5	3
075614855	medische ethiek	5	3
075610175	inkomensverdeling	5	1
075619504	productie	5	1
166270431	radiobiologie	5	1
075614812	mechanica	5	2
075658364	conflicten	5	1
097727075	cystic fibrosis	5	3
075625326	veiligheidstechniek	5	2
075635593	informatieverwerking	5	1
075636824	wet- en regelgeving	5	1
075613069	landschapsarchitectuur	5	3
075624060	therapieën	5	1
075614928	melk	5	3
123281172	informatiemanagement	5	2
075606887	geheugen	5	4
075618001	paleontologie	5	1
07562964x	bangladesh	5	1
075627426	wetenschapsleer	5	2
075661101	markttheorie	5	2
075605147	elektrotechniek	5	2
075599503	arbeidseconomie	5	3
075653370	ionen	5	2
075619652	prijspolitiek	5	3
075634058	sri lanka	5	1
07560826x	grassen	5	1
075658313	informaticarecht	5	2
075616246	natuurbescherming	5	1
075657805	bossen	5	1
075686252	dyslexie	4	3
07559918x	antennes	4	1
075611279	kantoorgebouwen	4	2
075658100	chinese taal- en letterkunde	4	2
075659549	glastuinbouw	4	5
241425522	foraminiferen	4	3
189672676	slakken	4	4
075661004	luchtvaarttechniek	4	2
332995682	sociale media	4	2
075624834	tunnelbouw	4	2
371085454	schildklierkanker	4	3
227408284	xenotransplantatie	4	3
075611481	kennisleer	4	2
075622580	spraakstoornissen	4	1
075657023	arbeidssociologie	4	3
185911978	salmonella	4	2
075613905	licht	4	2
075606194	financieringsleer	4	3
075661039	maagkanker	4	3
075627094	wegenbouwkunde	4	2
075662914	plasmafysica	4	2
075619709	psychiatrische behandelingsmethoden	4	1
161784372	mantelzorg	4	3
075619490	privaatrecht	4	2
075620669	rioleringen	4	1
075662884	plantaardige oliën	4	1
075604159	dieselmotoren	4	4
075605783	experimentele fysica	4	2
07561166x	kernreactoren	4	1
07566349x	ruimtevaarttechniek	4	2
075608804	havens	4	1
075617137	onkruidbestrijding	4	1
075598663	afasie	4	3
075625695	verloskunde	4	2
075605090	elektronica	4	3
292394365	ondernemingsbestuur	4	2
075607808	gieterijtechniek	4	2
075603187	computergeheugens	4	5
29153399x	streptokokken	4	2
075625229	vectoranalyse	4	2
241503647	massaspectrometrie	4	3
175585261	bedrijfsmilieuzorg	4	2
07561278x	kunststoffen	4	2
075604663	duinen	4	2
31537800x	plaveiselcelcarcinoom	4	3
075617625	opvoeding	4	1
075663740	snijbloemen	4	2
075688247	vrouwen ; gezondheidszorg	4	2
075661454	morfologie (biologie)	4	2
075598388	aardolie-industrie	4	4
075651378	neurochirurgie	4	3
075670380	in-vitrofertilisatie	4	2
216088011	niet-gouvernementele organisaties	4	2
075657929	allochtone jongeren	4	4
177178264	woningmarkt	4	3
075615371	milieubeheer	4	1
075599546	arbeidsmarkt	4	4
075603527	criminaliteit	4	1
075662086	opsporingsonderzoek	4	1
075628619	zout	4	1
075607336	geologie	4	2
075599724	asielrecht	4	3
402314883	competentiegericht onderwijs	4	2
277360307	humaan papillomavirus	4	3
075620138	rechterlijke macht	4	2
075664917	vitaminen (biologie)	4	2
075612917	laboratoriumtechnieken	4	2
075626500	voortgezet onderwijs	4	2
075663449	robotica	4	4
197228631	hersenvliesontsteking	4	3
075687704	bodemsanering	4	3
075631210	india	4	1
075607530	gesteenten	4	1
075663791	sociale veranderingen	4	1
075605732	exegese	4	1
391741861	disease management	4	2
075620170	rechtspraak	4	1
241689473	enzymtherapie	4	3
075672588	taxonomie (biologie)	4	2
075662892	plantengeografie	4	3
262668882	controletheorie (wiskunde)	4	2
075615657	mondhygiëne	4	3
100253369	neurale netwerken	4	2
075601885	bouwbedrijf	4	2
075666030	longchirurgie	4	3
075638436	noordzee	4	1
075666472	computerbeveiliging	4	2
241543932	gehoorapparaten	4	4
165972076	biomechanica	4	3
227914430	maïs	4	2
228056330	financiële markten	4	2
075628562	zonne-energie	4	2
075628449	ziekteleer	4	1
075661675	neerslag	4	2
075665905	zure regen	4	3
075620189	rechtssociologie	4	3
075663767	sociaal-economisch beleid	4	2
075604175	digitale techniek	4	3
075612542	kredietwezen	4	4
075615363	migratie	4	1
07559871x	afvalstoffen	4	2
244620741	schadevergoeding	4	2
075636751	autoverkeer	4	2
075603551	culturele antropologie	4	2
075662000	ontwikkelingseconomie	4	2
075689863	jeugdpsychiatrie	4	2
075627108	wegverkeer	4	2
075620553	onderzoek en ontwikkeling	4	1
075619741	psychomotorische therapie	4	2
075660385	kindervoeding	4	2
075598396	aardoliewinning	4	2
075684365	economische psychologie	4	3
075608375	groepen (sociologie)	4	3
075659298	geluk	4	1
07565766x	biologisch onderzoek	4	2
07568554x	europa ; economie	4	2
075645815	kameroen	4	1
075660326	kinderen	4	1
075618516	persoonlijkheidsleer	4	3
075663155	psychiatrische patiënten	4	2
075670836	aquacultuur	4	1
075627930	ijzer	4	2
075633558	thailand	4	1
075608413	grondpolitiek	4	2
075622661	spijsvertering	4	1
075615495	mineralen	4	1
07560566x	europese integratie	4	1
075630753	filippijnen	4	1
12385914x	victoriameer	4	1
075637391	brazilië	4	3
075626268	voedingsmiddelencontrole	4	1
292009585	maatschappelijk verantwoord ondernemen	4	3
160789532	beroepsziekten	4	2
075602156	bruggen	4	1
075600897	besliskunde	4	1
075660393	kinderziekten	4	2
406332118	maan	3	3
075609746	hydraulische techniek	3	2
075607360	gerechtelijke geneeskunde	3	2
075605414	erfrecht	3	2
07561748x	openbare financiën	3	3
075614383	maatschappelijk werk	3	1
075599767	astrochemie	3	2
227580532	kwantumveldentheorie	3	2
075652374	vlinders	3	5
075619539	programmeertalen	3	1
075614804	middelbaar beroepsonderwijs	3	3
216265517	bestuurdersaansprakelijkheid	3	2
075688913	elektrocardiografie	3	3
075617676	organische technische oliën	3	1
075612275	koeltechniek	3	2
34164854x	bestuursprocesrecht	3	3
075621991	sociale ethiek	3	2
075613743	leraren	3	1
188845534	asfalt	3	3
075611368	cartografie	3	1
075610329	internationaal handelsrecht	3	3
07562494x	uitgeverij	3	1
075660814	leesvaardigheid	3	2
075606283	fonologie	3	2
07562575x	verpleegkunde	3	1
075663228	radiochemie	3	2
075609886	immigratie	3	2
075664984	vliegtuigmaterialen	3	4
191475289	onderhandelen	3	2
07561037x	internationaal strafrecht	3	3
075600978	beurswezen	3	2
075604809	economie	3	1
075605899	farmaceutische producten	3	1
075659204	gasvoorziening	3	3
096044020	spraak (computertechniek)	3	2
075659611	groepentheorie (wiskunde)	3	2
263505294	blaaskanker	3	3
215174062	parodontologie	3	3
075656515	aardmagnetisme	3	3
075605848	faillissementsrecht	3	2
07561703x	onderwijsresearch	3	2
315466634	emissiehandel	3	4
075623560	taalwetenschap	3	1
244172382	coeliakie	3	3
075674416	compileerprogramma's	3	2
075601737	bomen	3	2
075614685	marktonderzoek	3	4
075662787	pathologische anatomie	3	4
075663074	prijsontwikkeling	3	1
075625776	verpleegtehuizen	3	1
273852167	microsysteemtechnologie	3	2
075619016	politieke partijen ; nederland	3	3
075612100	klimaatregeling	3	1
075614987	menstruatie(stoornissen)	3	3
075689855	chaostheorie	3	2
075647303	lesgeven	3	1
075665514	wonden	3	2
075618966	politie	3	1
163153388	gebruikersinterfaces	3	2
075687429	indonesië ; economie	3	2
075630974	groningen (stad)	3	3
075606763	geboortenregeling	3	1
075619881	pijpleidingen	3	3
075658380	consumentenrecht	3	2
075658348	concurrentie	3	1
075618974	politiek	3	1
318138980	kalimantan	3	2
075676826	toegepaste chemie	3	2
075607123	geluidsleer	3	2
075664143	subsidies	3	4
075660040	internationale handel	3	2
075610817	jeugdpsychologie	3	4
07564763x	brandwonden	3	3
07565735x	bejaarden ; maatschappij	3	2
075658747	economische delicten	3	2
075604957	elektrische energietechniek	3	3
30838153x	burgerschap	3	2
075600293	basisonderwijs	3	2
075660636	publieke sector	3	2
075598825	alcoholisme	3	2
07561877x	plantenteelt	3	5
075626691	vulkanisme	3	1
317672576	industriële ecologie	3	2
075653559	eritrea	3	1
091392314	middellandse zee	3	1
075616521	neurosen	3	3
317666436	zoönosen	3	3
075627299	werktuigbouwkunde	3	1
075598604	adoptie	3	3
075620766	romeins recht	3	2
075657007	arbeidsproductiviteit	3	4
075669986	duitsland ; geschiedenis	3	2
075617048	onderwijssociologie	3	3
075622815	stadssamenleving	3	3
07561247x	kostprijsberekening	3	3
075654733	scoliose	3	2
075631296	iran	3	1
075618052	papierindustrie	3	3
075601915	bouwkunde	3	1
075661993	ontbossing	3	2
075599228	anticonceptie	3	1
075684896	medisch specialisten	3	2
075615754	morfologie (taalwetenschap)	3	2
075648571	geschiedenis van de geneeskunde	3	2
075617072	onderwijsvernieuwing	3	1
075621053	satellietcommunicatie	3	2
075636204	burgerlijk recht	3	3
075605694	euthanasie	3	1
075611503	keramische technologie	3	2
075607190	geneeskrachtige kruiden	3	4
321640241	botkanker	3	3
075628392	ziekenhuizen	3	1
075686880	syndroom van down	3	3
07563032x	egypte	3	1
185267408	voetgangers	3	2
075627256	werkloosheid	3	4
075661241	mest	3	4
331370514	vredesmissies	3	2
188301097	syndroom van gilles de la tourette	3	3
227849205	variantie-analyse	3	3
075623005	sterven	3	1
075610272	integraalrekening	3	2
075653192	aids	3	3
075660717	landschapsbouw	3	2
14543320x	milieuwetenschappen	3	1
075602776	chemische industrie	3	4
075638630	argentinië	3	3
075659174	fysische technologie	3	2
075612984	landbouwonderwijs	3	2
075663953	inspanningsfysiologie	3	2
075657031	archeologie ; nederland	3	2
075650711	boortechnologie	3	2
075603578	cultuurfilosofie	3	2
075688239	migranten ; gezondheidszorg	3	2
234674717	hagiografie	3	2
075613271	belastingen	3	1
297323547	breuken (mechanica)	3	3
22745944x	cytomegalovirus	3	3
07562110x	schaaldieren	3	4
31767885x	familie(relaties)	3	1
075614456	macro-economie	3	2
075623552	taalstoornissen	3	2
075602571	carrièreplanning	3	2
075598302	aardewerk	3	1
075662167	organisatiepsychologie	3	3
075636794	vervoermiddelen	3	1
075607557	getijden	3	2
269707646	kustwerken	3	4
075660407	kledingindustrie	3	3
075645556	antarctica	3	1
075611325	kapitaalmarkt	3	3
075599678	armoede	3	3
075664992	vliegtestinstrumenten	3	4
075605333	energiebeleid	3	2
07562320x	straffen	3	1
075627590	wiskunde	3	1
075665840	dierengeografie	3	3
075664356	theoretische informatica	3	3
075636220	programmeren	3	1
124140912	internet	3	3
075599945	automatisering	3	1
075620405	relativiteitstheorie	3	2
075605392	epilepsie	3	2
182460185	ziekte van ménière	3	3
255335903	konijnen	3	3
12160800x	multimedia	3	2
075676206	veldtheorie	3	2
075636832	woningbouw	3	1
314818669	non-hodgkinlymfoom	3	3
075607778	gezondheidsrecht	3	2
075665646	maritieme geschiedenis	3	2
075617862	overgangsjaren	3	1
075690810	productinformatie	3	1
075656922	apen	3	3
075607492	geslachtsziekten	3	3
075661055	macht	3	1
075656701	landbouwgeschiedenis	3	2
075607913	gletsjers	3	1
07561149x	kennissociologie	3	3
075636247	rampen	3	1
075640074	maleisië	3	1
075659913	identiteit	3	3
165977477	ultraviolette straling	3	2
075640430	midden-amerika	3	2
075628694	zuivelproducten	3	2
07562737x	wetenschappelijk onderzoek	3	1
07561796x	paddenstoelen	3	4
075627027	weefselleer ; dierkunde	3	1
075635003	huwelijk	3	2
075602032	brandpreventie	3	1
075609371	horecabedrijf	3	2
406626618	cateringbedrijf	3	2
075613662	leerpsychologie	3	3
075629984	bolivia	3	3
075657643	biogeografie	3	2
075604612	druggebruik	3	2
07560339x	consumentenaangelegenheden	3	1
075636352	italië	3	1
075623404	suiker	3	3
230084117	zink	3	3
075606895	geheugenstoornissen	3	2
07561216x	klonen	3	4
075624982	uitvoer	3	2
075660679	landbouwbeleid ; nederland	3	3
189090367	scanning	3	2
075687658	levensstijlen	3	4
075598523	ademhaling	3	1
075599015	amfibieën	3	2
075619385	prehistorie	3	2
075632055	leiden	3	3
185802362	chinezen	3	4
215699319	oost-afrika	3	2
075665158	vrouwen	3	1
075628198	zeeverontreiniging	3	3
274576406	cultureel erfgoed	3	3
146950194	beroepsethiek	3	2
075659182	gammastraling	3	3
075618729	planologie	3	2
075616858	octrooirecht	3	4
075621983	sociale ecologie	3	2
075617633	opvoedingsinrichtingen	2	2
075620863	rubber	2	1
075616572	nieuwe testament	2	2
256181160	contemporaine filosofie (20e en 21e eeuw)	2	2
075656965	arbeidsongeschiktheid	2	1
075620790	roofdieren	2	3
330036203	cultuurparticipatie	2	4
075600102	baggerwerken	2	3
258321415	plantenhormonen	2	3
075627825	filosofische ethiek	2	2
075613735	lepra	2	3
227487303	grondrechten	2	1
273849972	amyotrofische lateraal sclerose	2	2
075685280	gebarentaal	2	2
241392489	schisis	2	3
086892916	contactlenzen	2	4
264577515	ganzen	2	3
242136559	mars (planeet)	2	2
07561832x	patiëntenrecht	2	2
239638948	mensenhandel	2	2
075603780	democratie	2	1
075620227	reclamepsychologie	2	3
093402112	ruimteonderzoek	2	2
075603217	computerprogramma's	2	1
075621789	slechthorendheid	2	3
075611953	klassieke filosofie	2	2
075664208	taalbeheersing	2	1
075606550	funderingstechniek	2	3
075672529	ziekte van huntington	2	2
075627922	ijstijden	2	3
075621258	schilderkunst	2	3
07561040x	interne geneeskunde	2	2
242632106	bedrijfsethiek	2	2
075657015	arbeidspsychologie	2	3
075609312	hoogspanningstechniek	2	3
075614111	logica	2	1
075665557	woningbouwverenigingen	2	3
075687550	europees milieubeleid	2	3
075608979	hermeneutiek	2	1
075601826	borstvoeding	2	3
15383580x	posttraumatische dystrofie	2	2
07565704x	argumenteren	2	2
075659271	geluidshinder ; verkeer	2	3
075608383	groepsdynamica	2	4
075627124	weidevogels	2	3
075622017	sociale geneeskunde	2	2
075622971	sterrenkijkers	2	2
075658585	dierenrecht	2	2
236266306	jeugdstrafrecht	2	3
291033512	paleo-ecologie	2	2
075623838	telecommunicatietechniek	2	2
075601893	bouweconomie	2	2
075663120	projectmanagement	2	2
075610485	islam	2	2
075612976	landbouwcoöperaties	2	3
075607158	gemeentebestuur	2	2
075598280	aardbevingen	2	3
075665069	vogelziekten	2	3
07561605x	mystiek ; religie	2	2
07562155x	seksualiteit	2	1
075620820	rooms-katholieke kerk	2	2
075609738	huwelijksrecht	2	3
075610019	industrie	2	2
256126593	nieuwe filosofie (17e-19e eeuw)	2	2
075678985	spina bifida	2	3
075635143	communicatie	2	1
075600013	autotechniek	2	2
148207103	postmodernisme	2	2
075617013	onderwijsbeleid	2	2
075659239	gehandicapten ; onderwijs	2	2
075601958	bouwnijverheid	2	1
291274978	neutronensterren	2	3
07561135x	kartels	2	1
075625717	vermoeidheid	2	1
075665247	waterkracht	2	2
075661691	neuro-anatomie	2	4
075615029	metaalindustrie	2	3
075663694	seksualiteit ; jongeren	2	2
075608715	hardware (computers)	2	2
075612372	koper	2	2
075603675	dammen (bouwkunde)	2	4
075637898	aruba	2	1
075613638	leermoeilijkheden	2	1
189870575	voorbereidend middelbaar beroepsonderwijs	2	4
264781066	epstein-barr virus	2	3
075614065	lithograferen	2	4
075615983	muziekgeschiedenis	2	2
07562754x	windenergie	2	2
315396946	ziekte van crohn	2	3
075626659	vrijetijdsbesteding	2	2
075606860	gehandicaptenzorg	2	1
07562558x	verkeerstekens	2	1
075631601	's-hertogenbosch	2	3
075626462	volwasseneneducatie	2	3
075617056	onderwijsstimulering	2	1
075611066	kadaster	2	1
075628554	zon	2	3
075607999	godsdienstsociologie	2	3
07566464x	vectorrekening	2	2
075610248	installatietechniek	2	2
075621797	slechtziendheid	2	3
075628511	zintuigen	2	1
075613751	lerarenopleidingen	2	2
075598450	accountancy	2	1
075606836	gedragstherapie	2	2
075664801	vertelkunst	2	2
075614332	lijm	2	1
075604183	dioden	2	3
075601230	bier	2	3
075603713	datacommunicatie	2	2
075627078	weersvoorspelling	2	2
075623013	stervensbegeleiding	2	1
075633485	rotterdam	2	3
270910557	cognitieve therapie	2	3
075669838	patiëntenvoorlichting	2	3
075663937	sportbeoefening	2	2
175796777	benchmarking	2	3
29141270x	visserijbeleid	2	2
075659212	gehandicapte kinderen	2	2
075599937	auto-industrie	2	3
075609800	hygiëne	2	1
075635178	dieren	2	1
075662183	organische mest	2	5
075652382	bijen	2	5
275888126	banc d'arguin	2	2
075616386	nederland ; geschiedenis	2	2
075630796	friesland	2	2
122442083	kolenvergassing	2	1
075661462	mossen	2	2
075600706	belastingrecht	2	2
075625350	vennootschapsbelasting	2	2
075661403	moederschap	2	3
075631342	japan	2	1
075617005	onderwijs	2	1
075662345	psalmen	2	3
075598884	alimentatie	2	2
121683281	eetstoornissen	2	2
096114746	nucleaire geneeskunde	2	2
188447318	deltagebied	2	2
075661624	nederlandse letterkunde ; 19e eeuw	2	3
075628015	zangvogels	2	3
075690926	vervoersrecht	2	2
20281596x	koorts	2	2
075610094	inflatie	2	4
075622327	sparen	2	4
075621207	scheepvaart	2	2
075615487	multiculturele samenleving	2	2
121655849	audiologie	2	1
075665654	zeewater	2	2
075635704	akkerbouw	2	4
075658755	economische crises	2	1
27385576x	outsourcing	2	3
075601680	boerderijen	2	2
115595988	pcb's	2	3
075658054	celtherapie	2	2
075627221	werkgelegenheidspolitiek	2	2
075668610	java (eiland)	2	2
075626233	vluchtelingenvraagstuk	2	1
075626381	volkshuisvesting	2	2
07560597x	feminisme	2	3
075606275	fonetiek	2	2
075604167	differentiaalrekening	2	2
075632713	nederlandse antillen	2	1
075665816	zoetstoffen	2	2
084479604	lexicologie	2	2
075613883	lichamelijk gehandicapten	2	1
075662574	overheid ; automatisering	2	2
075627493	wildbescherming	2	2
075604949	elektrische centrales	2	1
075618737	plantenanatomie	2	3
075625849	vertalen	2	1
075635534	hardlopen	2	3
07561331x	bedrijven	2	1
075661608	nederlandse dialecten	2	3
07563385x	twente	2	3
075624494	transseksualiteit	2	2
075649446	costa rica	2	1
075611430	katten	2	5
075659786	honden ; afzonderlijke rassen	2	4
075607549	getaltheorie	2	2
075657953	thuiszorg	2	3
356293319	bevolkingsdaling	2	2
12625849x	noord-nederland	2	2
075634252	waddenzee	2	1
075659379	geothermische energie	2	2
075607395	gereedschappen	2	1
075608669	handschriften	2	1
075678128	watergebieden	2	1
075599961	automatiseringstechniek	2	2
07565721x	bedrijfsgezondheidszorg	2	2
304488429	rechten van het kind	2	2
075605856	familierecht	2	2
075615509	mineralogie	2	1
075660512	koopwoningen	2	3
075661470	muggen	2	5
075665565	wonen	2	1
155586378	usambara	2	2
294703136	goederenrecht	2	2
075627604	wisselkoersen	2	5
075664399	toegepaste informatica	2	3
075685663	gemeentebeleid	2	2
075687348	fietsverkeer	2	2
075608200	grafologie	2	1
075604221	discriminatie	2	1
075620847	rouw	2	4
07566108x	mannen	2	1
075604191	diplomatie	2	1
075662175	organisch afval	2	3
080705146	djakarta	2	2
075606607	fysiotherapie	2	2
07566481x	verzamelingenleer	2	2
075630931	griekenland	2	1
075607980	godsdienstpsychologie	2	3
075627728	woningvraagstuk	2	1
075609177	hoefdieren	2	3
075640260	groningen (prov.)	2	2
07562673x	voorbereidend wetenschappelijk onderwijs	2	3
334614716	elektrische auto's	2	4
236273361	dwarslaesie	2	2
29637749x	drugsbeleid	2	2
075689057	arbitrage	2	2
075607654	geweld	2	1
075624885	tijdrekening	2	1
075615010	metaalbewerking	2	1
075637871	soedan	2	1
07566139x	moderne devotie	2	2
075611562	kerkgeschiedenis	2	2
24241138x	joint ventures	2	2
240518918	rechtseconomie	2	2
075622084	sociale wetenschappen	2	1
120460165	ouderen ; maatschappij	2	2
075613301	ondernemingen	2	1
075661314	mijten	2	4
075608839	hoger beroepsonderwijs	2	3
075614871	medische sociologie	2	3
075604019	dienstplicht	2	1
07562172x	slaapstoornissen	2	2
075616254	natuurgebieden	2	1
106517139	videofilmtechniek	2	2
075603977	didactiek	2	2
075661950	onderwijsbegeleiding	2	1
075635313	taalkunde	2	1
075624664	tropische vissen	2	3
075664976	vliegtuigconstructies	2	4
075661632	nederlandse letterkunde ; 20e eeuw	2	3
075613131	latijnse letterkunde	2	2
075626810	warmteleer	2	2
155926233	atlantische oceaan	2	1
075619075	pompen	2	1
075626861	waterbouwkunde	2	2
075658968	europese samenwerking	2	1
075616114	coniferen	2	3
106811037	tsjechië	2	1
075687445	publiek-private samenwerking	2	2
075598272	aandelen	2	5
098254073	pragmatiek	2	2
075658011	carrière maken	2	1
099581760	oekraïne	2	1
075609827	hypotheken	2	5
075611376	kartonindustrie	2	3
075618850	plattelandsgeografie	2	3
235698598	kindersterfte	2	2
312981651	uiterwaarden	2	1
075604388	doofheid	2	3
134808223	lobbyisme	2	2
075636816	watervoorziening	2	1
075623528	taalachterstand	2	1
075665417	wieren	2	2
07566111x	marokkanen	2	3
075665026	vluchtelingen	2	1
075624680	tropische vruchten	2	3
075666553	borneo (eiland)	2	1
075601850	bosflora	2	2
075662655	ozon	2	1
075619822	psychotherapie	2	2
11559535x	dioxines	2	3
075615398	milieuhygiëne	2	2
258125586	pilbara	2	2
075666863	technologie en samenleving	2	2
075687984	expertsystemen	2	3
075600471	bedrijfssociologie	2	3
075624648	tropen	2	1
075615797	motivatie	2	4
075665492	wiskunde-onderwijs	2	2
075610779	jeugdgevangenissen	2	2
075664038	steenkool	2	3
075660431	kleuters	2	2
07563886x	sahel	2	2
075680890	middellandse zeegebied	2	1
075629550	amsterdam	2	3
075606437	franse letterkunde	2	2
23525083x	cochabamba	2	4
075622335	spastici	2	2
075635518	gezondheidsleer	2	1
258970537	milieuchemie	2	2
075625253	veengronden	2	1
075613581	colombia	2	3
07560101x	bevolkingsstatistiek	2	2
075613115	lasers	2	1
07565699x	arbeidsmobiliteit	2	2
075617242	ontwikkelingssamenwerking	2	1
075665700	17e eeuw	2	3
075660660	landbouwbeleid ; europa	2	3
163609810	sociotechniek	2	4
075628430	ziektekostenverzekeringen	2	2
07562785x	ijs (geologie)	2	3
075610191	inkoop	2	1
075625628	verkoopkunde	2	4
304295795	water	2	1
075668785	conserveren	2	1
075598760	agrarisch recht	2	3
075629992	chili	2	3
075616335	natuurreservaten	2	1
075677628	verenigde staten	2	3
075607050	geloofsleven	2	1
075612755	kunstmatige satellieten	2	1
07561958x	protestantisme	2	3
075618443	pensionering	2	1
075657155	baby's	2	2
075665735	ziekenhuizen ; economie	2	2
075613077	landschapsbescherming	2	2
075656655	afrikaanse volken	2	3
075661020	lymfvatenstelsel(ziekten)	2	2
075627272	werknemers	2	1
075627442	wettelijke aansprakelijkheid	2	2
075619830	puberteit	2	4
075606925	geiten	2	4
117230707	schoolloopbaan	2	1
161914527	educatieve software	2	3
156728281	trauma's (psychologie)	2	3
136345964	vijvers	2	2
298939150	syndroom van turner	2	3
173816533	rechtsinformatica	2	3
075624877	tijd	2	1
07562074x	sociobiologie	2	2
075672561	combinatietheorie	2	2
075664437	training (sport)	2	1
075684640	decentralisatie	2	2
075660849	levenskunst	2	1
075663678	seksualiteit ; mannen	2	2
075677490	vreemdelingenrecht	2	2
075637987	vrijwilligerswerk	2	2
075610108	informatietheorie	2	1
075626055	visserij	2	3
075677504	mondheelkunde	2	2
167259032	ambulancehulpverlening	2	2
075615444	militairen	2	2
075622033	sociale klassen	2	1
205442609	eutrofiëring	2	1
075605422	ergonomie	2	1
075688883	automatisch vertalen	1	2
301045054	domotica	1	2
075679779	verzekeringsrecht	1	2
21566180x	prionziekten	1	2
18906515x	cartesianisme	1	2
